score,Incredible,Bad,Terrible,Poor,Awful,Below average,Really bad,Very bad,Pretty bad,Mediocre,Rubbish,Average,OK,Great,Good,Fantastic,Brilliant,Above average,Really good,Very good,Superb,Pretty good,Not bad,Abysmal,Excellent,Outstanding,Alright,Quite good,Quite bad,Fair,Appalling,Dreadful,Fine,Satisfactory,Unsatisfactory,Decent,Awesome,Somewhat good,Somewhat bad,Perfect
0,0,13,34,9,30,5,27,29,7,3,22,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,1,0,7,0,55,46,1,1,17,0,1,1,4,0
1,0,14,23,15,25,4,25,27,9,2,22,1,0,0,0,0,0,0,1,0,0,0,1,23,0,0,0,0,11,0,17,20,1,0,13,0,0,0,7,0
2,1,22,20,27,21,12,21,23,22,7,23,1,1,0,0,1,0,0,0,0,0,0,2,10,0,0,1,1,24,1,8,13,1,1,23,1,1,1,18,0
3,0,28,8,25,10,30,11,8,34,13,16,3,3,0,0,0,0,1,0,1,1,1,8,4,0,1,4,1,30,3,3,4,3,3,21,1,1,3,30,0
4,1,10,3,11,3,34,4,3,16,20,4,10,7,1,1,1,0,2,1,1,1,2,17,2,1,1,9,4,12,9,2,2,7,7,9,4,1,6,24,1
5,3,4,3,5,2,6,2,2,4,41,4,66,46,4,10,2,2,8,3,3,2,9,33,2,2,2,38,12,5,42,3,2,31,36,4,15,3,18,6,2
6,3,2,2,2,1,3,2,1,2,5,2,10,24,9,25,2,3,35,8,7,3,28,24,1,1,2,24,27,2,22,2,2,24,23,2,24,3,36,2,2
7,7,1,2,2,1,1,2,1,1,2,2,4,10,25,31,8,8,31,22,21,7,35,10,1,5,5,12,32,2,10,2,2,17,14,2,28,8,20,1,4
8,16,1,2,1,2,1,1,2,1,2,2,2,5,32,19,20,18,13,34,33,18,17,3,1,16,9,4,13,1,3,2,2,7,6,1,13,17,5,1,10
9,22,1,0,1,1,0,1,1,0,1,1,1,1,16,5,25,26,4,18,18,27,4,1,1,25,19,1,3,1,1,1,1,2,2,1,4,22,1,0,13
10,45,1,2,1,1,1,1,2,1,1,1,1,2,11,5,39,39,3,10,14,40,4,1,1,44,55,1,2,1,1,2,1,2,2,1,4,35,1,0,61
