loss,guess
743.6996505601544,0
301.1021754710378,1
58.588306054169635,2
146.02201181907952,3
56.40051010082066,4
309.9726995678811,5
402.14658547158734,6
85.3568174031259,7
1892.499552302779,8
58.80212492926636,9
228.619901489314,10
294.9693940904227,11
,12
312.7026856354382,13
564.4696547671012,14
310.2095083830694,15
,16
55.99870020902144,17
57.8424555776452,18
1481.9871666288336,19
57.74427715371723,20
,21
55.979585208448924,22
,23
57.62731325638442,24
777.6705244664333,25
56.68731421622757,26
58.260899539822816,27
424.5341324969644,28
187.55519516494945,29
58.561906118551164,30
73.72544685603916,31
55.96727346320023,32
316.0121628539433,33
55.9929476404624,34
56.254673164996944,35
,36
317.8154028628406,37
306.70200818635254,38
247.56475508862363,39
,40
,41
453.2449895827651,42
448.0561636792224,43
578.7507366252553,44
188.21676980229483,45
70.17165599678432,46
311.78633194256224,47
90.02725003457476,48
59.721528150070796,49
196.62982255986213,50
55.97744171790397,51
307.23705185966344,52
56.48564296463746,53
190.67594803314896,54
297.28357330162174,55
88.67835894908045,56
57.96192329389816,57
57.3548190002941,58
105.51123046406636,59
127.41644795083101,60
55.9845909747129,61
56.09771130704403,62
223.70040024708055,63
314.7214285276094,64
239.08239386554828,65
111.17899060246016,66
,67
303.9485717202408,68
74.33716850513365,69
69.04265598017061,70
59.3458592753417,71
58.259755702701845,72
58.677290095185825,73
,74
59.240113979696346,75
55.99205588192851,76
383.9683637701064,77
279.18644438855347,78
73.7206493466896,79
58.63401387928014,80
223.68032444893947,81
56.10474090084928,82
347.56973018129054,83
1271.5787835780884,84
341.09697594454326,85
108.24437465909594,86
58.041484984702734,87
58.19820365678006,88
56.873877602190184,89
313.3767860430796,90
63.489843435547854,91
99.21610720497539,92
,93
,94
119.54189503962372,95
277.2010796252834,96
78.89400464729324,97
455.27858410301144,98
55.96912841610612,99
